time,stock,vwap
9:00:00,CENTA,35.07
9:00:00,CENX,8.8
9:00:00,CEO,165.27
9:00:00,CEPU,10.02
9:00:00,CERN,54.5
9:00:00,CERS,5.72
9:00:00,CET,26.09
9:00:00,CETV,3.03
9:00:00,CETX,0.77
9:00:00,CEVA,27.76
9:00:00,CF,42.95
9:00:00,CFFI,51.24
9:00:00,CFFN,13.17
9:00:00,CFG,34.71
9:00:00,CFR,99.24
9:00:00,CFRX,0.5
9:00:00,CFX,24.74
9:00:00,CG,17.63
9:00:00,CGBD,14.66
9:00:00,CGC,47.3
9:00:00,CGIX,0.25
9:00:00,CGNX,43.56
9:00:00,CHAP,8.02
9:00:00,CHCI,1.9
9:00:00,CHCT,32.02
9:00:00,CHD,63.64
9:00:00,CHDN,90.33
9:00:00,CHE,292.86
9:00:00,CHEF,33.47
9:00:00,CHEK,3.98
9:00:00,CHFC,45.02
9:00:00,CHFS,8.62
9:00:00,CHGG,34.83
9:00:00,CHH,78.1
9:00:00,CHK,2.85
9:00:00,CHKP,111.47
9:00:00,CHL,52.41
9:00:00,CHMG,42.2
9:00:00,CHMI,18.52
9:00:00,CHN,18.84
9:00:00,CHRS,12.96
9:00:00,CHRW,86.06
9:00:00,CHS,5.82
9:00:00,CHSP,27.69
9:00:00,CHTR,289.8
9:00:00,CHU,11.38
9:00:00,CHUY,21.6
9:00:00,CHW,7.58
9:00:00,CI,199.23
9:00:00,CIB,43.28
9:00:00,CIBR,25.35
9:00:00,CIDM,1.0
9:00:00,CIEN,37.58
9:00:00,CIFS,1.08
9:00:00,CIG,3.71
9:00:00,CIGI,61.85
9:00:00,CIM,18.92
9:00:00,CIM-D,24.85
9:00:00,CINF,79.34
9:00:00,CIR,25.96
9:00:00,CISN,11.95
9:00:00,CIT,45.98
9:00:00,CIVI,17.68
9:00:00,CJ,15.44
9:00:00,CJJD,2.07
9:00:00,CKH,42.48
9:00:00,CL,63.9
9:00:00,CLAR,10.77
9:00:00,CLB,67.5
9:00:00,CLBK,14.79
9:00:00,CLBS,4.95
9:00:00,CLCT,13.66
9:00:00,CLD,0.37
9:00:00,CLDC,1.25
9:00:00,CLDR,13.08
9:00:00,CLDT,20.09
9:00:00,CLDX,0.36
9:00:00,CLF,10.39
9:00:00,CLFD,12.16
9:00:00,CLGX,36.0
9:00:00,CLH,58.64
9:00:00,CLI,20.22
9:00:00,CLIR,1.24
9:00:00,CLLS,16.72
9:00:00,CLM,11.95
9:00:00,CLNC,16.25
9:00:00,CLNE,1.9
9:00:00,CLNY,5.79
9:00:00,CLPR,12.89
9:00:00,CLPS,6.43
9:00:00,CLR,45.74
9:00:00,CLRO,2.07
9:00:00,CLUB,6.01
